month,opening_paid,new_paid,reactivated,churned,ending_paid,studio,assist,business,MRR,ARR_run_rate,paid_cash_contribution,paid_economic_contribution,service_revenue,service_economic_cost,trial_cash,trial_support_hours,acquisition_cash,acquisition_hours,fixed_cash,cash_operating_result,full_economic_result,receipts_after_fees,cash_out,ending_cash,founder_hours,capacity_exceeded
13,96.52854601729669,13.191196945049828,0.0,3.8611418406918676,105.85860112165466,0.0,105.85860112165466,0.0,4128.485443744532,49541.82532493438,3452.684134183888,2658.7446257714782,0.0,0.0,49.6113544042445,10.335698834217602,120,32,150,3133.0727797796435,-490.9376936592946,3524.836386367606,732.4598987786976,24229.3197410684,120.80034911463127,True
14,105.85860112165466,13.712651511445733,0.0,4.234344044866186,115.3369085882342,0.0,115.3369085882342,0.0,4498.139434941134,53977.6732192936,3761.8286105138463,2896.80179610209,0.0,0.0,50.315808580414284,10.482460120919642,120,32,150,3441.512801933432,-257.9878161059137,3865.5326785583406,770.1297520745277,27324.722667552214,123.31668726797818,True
15,115.3369085882342,13.877157571903561,0.0,4.613476343529368,124.60058981660839,0.0,124.60058981660839,0.0,4859.423002847727,58313.07603417272,4063.9728374584993,3129.468413833936,0.0,0.0,51.04844092363085,10.635091859089759,120,32,150,3742.9243965348683,-30.632782862387558,4211.642554007959,806.9907412084036,30729.37448035177,125.78523931324186,True
16,124.60058981660839,14.048243874779706,0.0,4.984023592664336,133.66481009872376,0.0,133.66481009872376,0.0,5212.927593850227,62555.13112620272,4359.611446179974,3357.125370439546,0.0,0.0,51.81037856057608,10.793828866786685,120,32,150,4037.801067619398,191.50012587536912,4549.915137743272,843.1031379455987,34436.186480149445,128.21003139146762,True
17,133.66481009872376,14.226173629770893,0.0,5.34659240394895,142.5443913245457,0.0,142.5443913245457,0.0,5559.231261657283,66710.7751398874,4649.227867441383,3580.14493250729,0.0,0.0,52.60279370299912,10.958915354791484,120,32,150,4326.625073738383,408.77467816054605,4880.904205564995,878.5259198687274,38438.56476584572,130.5950131859279,True
18,142.5443913245457,14.411220574961728,0.0,5.701775652981828,151.2538362465256,0.0,151.2538362465256,0.0,5898.899613614498,70786.79536337397,4933.295123016679,3798.891351167737,0.0,0.0,53.4269054511191,11.130605302316477,120,32,150,4609.86821756556,621.5462866471244,5205.15099360711,913.3168668125688,42730.39889264026,132.94406436394786,True
19,151.2538362465256,14.603669397960198,0.0,6.050153449861025,159.80735219462477,0.0,159.80735219462477,0.0,6232.486735590366,74789.8408270844,5212.2765991798815,4013.7214577201958,0.0,0.0,54.283981669163865,11.30916284774247,120,32,150,4887.9926175107175,830.1625906187573,5523.18508437813,947.5326552282004,47306.05132179019,135.26100089639866,True
20,159.80735219462477,14.803816173878607,0.0,6.3922940877849905,168.2188742807184,0.0,168.2188742807184,0.0,6560.536096948018,78726.43316337622,5486.626803539912,4224.985246434523,0.0,0.0,55.175340935930414,11.494862694985502,120,32,150,5161.451462603981,1034.964024649028,5835.525272738919,981.2289506307322,52160.34764389838,137.5495812651651,True
21,168.2188742807184,15.011968820833753,0.0,6.728754971228738,176.50208813032341,0.0,176.50208813032341,0.0,6883.581437082613,82602.97724499136,5756.792106458628,4433.026445481203,0.0,0.0,56.102354573367634,11.687990536118257,120,32,150,5430.68975188526,1236.2843748242867,6142.680413234712,1014.4604982816289,57288.567558851464,139.8135125686991,True
22,176.50208813032341,15.2284475736671,0.0,7.060083525212935,184.67045217877757,0.0,184.67045217877757,0.0,7202.147634972325,86425.77161966791,6023.211468263009,4638.183076922177,0.0,0.0,57.06644875630234,11.888843490896322,120,32,150,5696.145019506706,1434.4513234389851,6445.150250166891,1047.2812122535347,62686.43659676482,142.0564565355907,True
23,184.67045217877757,15.453585476613785,0.0,7.386818087151103,192.73721956824025,0.0,192.73721956824025,0.0,7516.75156316137,90201.01875793643,6286.317153437724,4840.788006675922,0.0,0.0,58.069106706554436,12.097730563865506,120,32,150,5958.24804673117,1629.7869830534028,6743.4262317602415,1079.7442630226915,68350.11856550237,144.28203545592555,True
24,192.73721956824025,15.687728895678337,0.0,7.709488782729612,200.71545968118897,0.0,200.71545968118897,0.0,7827.90292756637,93934.83513079643,6546.535432961659,5041.169485352742,0.0,0.0,59.11187097481661,12.31497311975346,120,32,150,6217.423561986843,1822.6084207853219,7037.9923097538585,1111.9021637314536,74276.20871152479,146.49383804005072,True
25,200.71545968118897,15.93123805150547,0.0,8.02861838724756,208.6180793454469,0.0,208.6180793454469,0.0,8136.105094472428,97633.26113366915,6804.287275931096,5239.651680840244,0.0,0.0,60.19634581380927,12.540905377876932,120,32,150,6474.090930117287,2013.2281736901277,7329.325725718297,1143.806855261052,80461.72758198204,148.69542521423864,True
26,208.6180793454469,16.18448757356569,0.0,8.344723173817878,216.4578437451947,0.0,216.4578437451947,0.0,8441.855906062594,101302.27087275113,7059.989031593271,5436.55520350431,0.0,0.0,61.32419964636165,12.775874926325343,120,32,150,6728.6648319469095,2201.9547560681885,7617.897785378339,1175.5097902526209,86904.11557710776,150.89033586262403,True
27,216.4578437451947,16.447867076508317,0.0,8.658313749807789,224.24739707189525,0.0,224.24739707189525,0.0,8745.648485803915,104947.78182964698,7314.053102896935,5632.197624857721,0.0,0.0,62.49716763221611,13.02024325671169,120,32,150,6981.55593526472,2389.0931595241545,7904.174622199533,1207.0620162126074,93601.22818309469,153.0820925246855,True
28,224.24739707189525,16.72178175956865,0.0,8.969895882875809,231.99928294858807,0.0,231.99928294858807,0.0,9047.972034994935,108575.66441993922,7566.888612651149,5826.893990536738,0.0,0.0,63.71705433750476,13.274386320313491,120,32,150,7233.171558313644,2574.9453465898277,8188.617951477327,1238.5142578369982,100551.33187673501,155.2742070574605,True
29,231.99928294858807,17.006653029951394,0.0,9.279971317943524,239.72596466059596,0.0,239.72596466059596,0.0,9349.312621763243,112191.75146115891,7818.902063369997,6020.9573284155285,0.0,0.0,64.98573651100494,13.538695106459363,120,32,150,7483.916326858993,2759.810738710742,8471.685816150642,1269.9169986873292,107753.10069419832,157.47018627160836,True
30,239.72596466059596,17.302919151149453,0.0,9.589038586423838,247.43984522532156,0.0,247.43984522532156,0.0,9650.153963787541,115801.8475654505,8070.497991869088,6214.699152679176,0.0,0.0,66.30516597144515,13.813576244051072,120,32,150,7734.192825897642,2943.986699386198,8753.83332554632,1301.3205623501992,115205.61345739444,159.67353755038147,True
31,247.43984522532156,17.61103591719543,0.0,9.897593809012863,255.15328733350412,0.0,255.15328733350412,0.0,9950.978206006661,119411.73847207993,8322.07961966957,6408.429964668289,0.0,0.0,67.2,14.0,120,32,150,7984.879619669569,3131.2299646682886,9035.513388247844,1332.297820600666,122908.82902504162,161.78832183337602,True
32,255.15328733350412,17.82,0.0,10.206131493340164,262.767155840164,0.0,262.767155840164,0.0,10247.919077766395,122975.02893319674,8570.413554882789,6599.659886081558,0.0,0.0,67.2,14.0,120,32,150,8233.213554882788,3322.4598860815586,9317.17744027024,1361.9919077766394,130864.01455753522,163.69178896004098,True
33,262.767155840164,17.82,0.0,10.51068623360656,270.0764696065574,0.0,270.0764696065574,0.0,10532.98231465574,126395.78777586887,8808.814132687476,6783.240610638295,0.0,0.0,67.2,14.0,120,32,150,8471.614132687475,3506.0406106382943,9595.205462659429,1390.4982314655738,139068.72178872908,165.51911740163933,True
34,270.0764696065574,17.82,0.0,10.803058784262296,277.09341082229514,0.0,277.09341082229514,0.0,10806.643022069511,129679.71626483413,9037.678687379977,6959.478106212765,0.0,0.0,67.2,14.0,120,32,150,8700.478687379977,3682.2781062127633,9862.112364153052,1417.8643022069512,147512.96985067517,167.27335270557379,True
35,277.09341082229514,17.82,0.0,11.083736432891806,283.8296743894033,0.0,283.8296743894033,0.0,11069.357301186728,132832.28761424075,9257.388659884778,7128.666101964253,0.0,0.0,67.2,14.0,120,32,150,8920.188659884778,3851.4661019642535,10118.342989586929,1444.1357301186729,156187.17711014344,168.95741859735082,True
36,283.8296743894033,17.82,0.0,11.353186975576135,290.2964874138272,0.0,290.2964874138272,0.0,11321.563009139261,135858.75610967114,9468.310233489388,7291.086577885684,0.0,0.0,67.2,14.0,120,32,150,9131.110233489388,4013.8865778856834,10364.324390003454,1469.3563009139261,165082.14519923297,170.5741218534568,True
