month,opening_paid,new_paid,reactivated,churned,ending_paid,studio,assist,business,MRR,ARR_run_rate,paid_cash_contribution,paid_economic_contribution,service_revenue,service_economic_cost,trial_cash,trial_support_hours,acquisition_cash,acquisition_hours,fixed_cash,cash_operating_result,full_economic_result,receipts_after_fees,cash_out,ending_cash,founder_hours,capacity_exceeded
16,16.65340701321913,2.159325,0.0,1.6653407013219135,17.14739131189722,0.0,17.14739131189722,0.0,668.7482611639916,8024.9791339678995,539.2168671939199,410.6114323546908,0.0,0.0,14.880000000000003,4.65,120,32,150,254.33686719391994,-2533.7685676453093,588.6313242892433,351.75482611639916,10168.196594444398,92.9368478279743,False
17,17.14739131189722,2.159325,0.0,1.7147391311897222,17.591977180707495,0.0,17.591977180707495,0.0,686.0871100475923,8233.045320571107,553.1973144245278,421.25748556922167,0.0,0.0,14.880000000000003,4.65,120,32,150,268.3173144245278,-2523.122514430778,606.091693310319,353.48871100475924,10420.799576749958,93.04799429517688,False
18,17.591977180707495,2.159325,0.0,1.7591977180707499,17.992104462636746,0.0,17.992104462636746,0.0,701.6920740428332,8420.304888513998,565.7797169320751,430.8389334622995,0.0,0.0,14.880000000000003,4.65,120,32,150,280.8997169320751,-2513.5410665377003,621.806025429287,355.0492074042833,10687.556394774962,93.14802611565918,False
19,17.992104462636746,2.159325,0.0,1.7992104462636749,18.352219016373073,0.0,18.352219016373073,0.0,715.7365416385499,8588.838499662597,577.1038791888676,439.4622365660696,0.0,0.0,14.880000000000003,4.65,120,32,150,292.2238791888676,-2504.9177634339303,635.9489243363582,356.453654163855,10967.051664947465,93.23805475409327,False
20,18.352219016373073,2.159325,0.0,1.8352219016373073,18.676322114735765,0.0,18.676322114735765,0.0,728.3765624746949,8740.518749696339,587.2956252199808,447.2232093594626,0.0,0.0,14.880000000000003,4.65,120,32,150,302.4156252199808,-2497.1567906405376,648.6775333527224,357.71765624746945,11258.011542052718,93.31908052868394,False
21,18.676322114735765,2.159325,0.0,1.8676322114735766,18.968014903262187,0.0,18.968014903262187,0.0,739.7525812272253,8877.030974726704,596.4681966479827,454.20808487351627,0.0,0.0,14.880000000000003,4.65,120,32,150,311.5881966479827,-2490.171915126484,660.1332814674502,358.8552581227225,11559.289565397446,93.39200372581556,False
22,18.968014903262187,2.159325,0.0,1.896801490326219,19.230538412935967,0.0,19.230538412935967,0.0,749.9909981045028,8999.891977254032,604.7235109331843,460.4944728361646,0.0,0.0,14.880000000000003,4.65,120,32,150,319.84351093318435,-2483.8855271638354,670.4434547707052,359.87909981045027,11869.853920357702,93.457634603234,False
23,19.230538412935967,2.159325,0.0,1.923053841293597,19.466809571642372,0.0,19.466809571642372,0.0,759.2055732940526,9110.46687952863,612.153293789866,466.1522220025482,0.0,0.0,14.880000000000003,4.65,120,32,150,327.273293789866,-2478.227777997452,679.7226107436346,360.80055732940525,12188.775973771932,93.51670239291059,False
24,19.466809571642372,2.159325,0.0,1.9466809571642372,19.679453614478135,0.0,19.679453614478135,0.0,767.4986909646473,9209.984291575767,618.8400983608794,471.24419625229336,0.0,0.0,14.880000000000003,4.65,120,32,150,333.96009836087944,-2473.1358037477066,688.0738511192714,361.62986909646474,12515.219955794739,93.56986340361954,False
25,19.679453614478135,2.159325,0.0,1.9679453614478135,19.87083325303032,0.0,19.87083325303032,0.0,774.9624968681825,9299.54996241819,624.8582224747914,475.826973077064,0.0,0.0,14.880000000000003,4.65,120,32,150,339.97822247479144,-2468.5530269229357,695.5899674573441,362.37624968681826,12848.433673565265,93.61770831325758,False
26,19.87083325303032,2.159325,0.0,1.9870833253030322,20.04307492772729,0.0,20.04307492772729,0.0,781.6799221813643,9380.159066176371,630.2745341773123,479.95147221935764,0.0,0.0,14.880000000000003,4.65,120,32,150,345.39453417731227,-2464.4285277806425,702.3544721616097,363.0479922181364,13187.740153508737,93.66076873193182,False
27,20.04307492772729,2.159325,0.0,2.0043074927727287,20.19809243495456,0.0,20.19809243495456,0.0,787.7256049632279,9452.707259558734,635.1492147095811,483.6635214474219,0.0,0.0,14.880000000000003,4.65,120,32,150,350.2692147095811,-2460.7164785525783,708.4425263954487,363.6525604963228,13532.530119407864,93.69952310873865,False
28,20.19809243495456,2.159325,0.0,2.0198092434954558,20.337608191459104,0.0,20.337608191459104,0.0,793.1667194669051,9518.00063360286,639.536427188623,487.0043657526797,0.0,0.0,14.880000000000003,4.65,120,32,150,354.65642718862296,-2457.3756342473202,713.9217752059038,364.1966719466905,13882.255222667078,93.73440204786478,False
29,20.337608191459104,2.159325,0.0,2.0337608191459102,20.463172372313192,0.0,20.463172372313192,0.0,798.0637225202145,9576.764670242574,643.4849184197606,490.0111256274117,0.0,0.0,14.880000000000003,4.65,120,32,150,358.60491841976057,-2454.3688743725884,718.8530991353134,364.68637225202144,14236.42194955037,93.7657930930783,False
30,20.463172372313192,2.159325,0.0,2.046317237231319,20.576180135081874,0.0,20.576180135081874,0.0,802.4710252681931,9629.652303218318,647.0385605277845,492.7172095146705,0.0,0.0,14.880000000000003,4.65,120,32,150,362.1585605277845,-2451.6627904853294,723.2912906717821,365.1271025268193,14594.586137695333,93.79404503377047,False
31,20.576180135081874,2.159325,0.0,2.057618013508187,20.677887121573686,0.0,20.677887121573686,0.0,806.4375977413738,9677.251172896486,650.2368384250061,495.15268501320344,0.0,0.0,14.880000000000003,4.65,120,32,150,365.3568384250061,-2449.2273149867965,727.2856630546038,365.5237597741374,14956.3480409758,93.81947178039343,False
32,20.677887121573686,2.159325,0.0,2.0677887121573684,20.769423409416316,0.0,20.769423409416316,0.0,810.0075129672363,9720.090155606835,653.1152885325055,497.34461296188306,0.0,0.0,14.880000000000003,4.65,120,32,150,368.2352885325055,-2447.035387038117,730.8805981991434,365.88075129672364,15321.347887878219,93.84235585235407,False
33,20.769423409416316,2.159325,0.0,2.076942340941631,20.851806068474684,0.0,20.851806068474684,0.0,813.2204366705126,9758.645240046151,655.7058936292549,499.31734811569476,0.0,0.0,14.880000000000003,4.65,120,32,150,370.8258936292549,-2445.062651884305,734.1160398292291,366.20204366705127,15689.261884040397,93.86295151711867,False
34,20.851806068474684,2.159325,0.0,2.0851806068474685,20.925950461627217,0.0,20.925950461627217,0.0,816.1120680034614,9793.344816041537,658.0374382163294,501.0928097541253,0.0,0.0,14.880000000000003,4.65,120,32,150,373.1574382163294,-2443.2871902458746,737.0279372963062,366.49120680034616,16059.798614536357,93.8814876154068,False
35,20.925950461627217,2.159325,0.0,2.0925950461627214,20.992680415464495,0.0,20.992680415464495,0.0,818.7145362031152,9824.574434437383,660.1358283446965,502.6907252287127,0.0,0.0,14.880000000000003,4.65,120,32,150,375.2558283446965,-2441.6892747712873,739.6486450166755,366.7514536203115,16432.695805932723,93.89817010386612,False
36,20.992680415464495,2.159325,0.0,2.0992680415464493,21.052737373918045,0.0,21.052737373918045,0.0,821.0567575828038,9852.681090993647,662.0243794602268,504.12884915584146,0.0,0.0,14.880000000000003,4.65,120,32,150,377.1443794602268,-2440.2511508441585,742.0072819650079,366.98567575828037,16807.71741213945,93.91318434347951,False
