month,join_month,origin_month,channel,plan,active,lapsed
8,3,2,founder,studio,0.0,0.0
8,3,2,founder,assist,3.5931940936704,1.3028059063295998
8,3,2,founder,business,0.0,0.0
8,3,2,partners,studio,0.0,0.0
8,3,2,partners,assist,1.26994752036096,0.46045247963903996
8,3,2,partners,business,0.0,0.0
8,3,2,case_content,studio,0.0,0.0
8,3,2,case_content,assist,0.28347042865200006,0.10277957134800002
8,3,2,case_content,business,0.0,0.0
8,4,3,founder,studio,0.0,0.0
8,4,3,founder,assist,3.8989978463232,1.0949221536768
8,4,3,founder,business,0.0,0.0
8,4,3,partners,studio,0.0,0.0
8,4,3,partners,assist,1.3915382403955199,0.39077375960447996
8,4,3,partners,business,0.0,0.0
8,4,3,case_content,studio,0.0,0.0
8,4,3,case_content,assist,0.310611214374,0.087226285626
8,4,3,case_content,business,0.0,0.0
8,5,4,founder,studio,0.0,0.0
8,5,4,founder,assist,4.230827450265601,0.8629709497344
8,5,4,founder,business,0.0,0.0
8,5,4,partners,studio,0.0,0.0
8,5,4,partners,assist,1.52477062511424,0.31101073488576
8,5,4,partners,business,0.0,0.0
8,5,4,case_content,studio,0.0,0.0
8,5,4,case_content,assist,0.340350585963,0.069422039037
8,5,4,case_content,business,0.0,0.0
8,6,5,founder,studio,0.0,0.0
8,6,5,founder,assist,4.590897871564799,0.6047764964351998
8,6,5,founder,business,0.0,0.0
8,6,5,partners,studio,0.0,0.0
8,6,5,partners,assist,1.67075930198688,0.22009549881312002
8,6,5,partners,business,0.0,0.0
8,6,5,case_content,studio,0.0,0.0
8,6,5,case_content,assist,0.37293734419350005,0.04912845955650001
8,6,5,case_content,business,0.0,0.0
8,7,6,founder,studio,0.0,0.0
8,7,6,founder,assist,4.9816125840384,0.31797527132160003
8,7,6,founder,business,0.0,0.0
8,7,6,partners,studio,0.0,0.0
8,7,6,partners,assist,1.83072561813456,0.11685482668943999
8,7,6,partners,business,0.0,0.0
8,7,6,case_content,studio,0.0,0.0
8,7,6,case_content,assist,0.40864411119075,0.026083666671749998
8,7,6,case_content,business,0.0,0.0
8,8,7,founder,studio,0.0,0
8,8,7,founder,assist,5.405579612467201,0
8,8,7,founder,business,0.0,0
8,8,7,partners,studio,0.0,0
8,8,7,partners,assist,2.00600785816872,0
8,8,7,partners,business,0.0,0
8,8,7,case_content,studio,0.0,0
8,8,7,case_content,assist,0.447769611198375,0
8,8,7,case_content,business,0.0,0
9,2,1,founder,studio,0.0,0.0
9,2,1,founder,assist,3.112692452124673,1.687307547875328
9,2,1,founder,business,0.0,0.0
9,2,1,partners,studio,0.0,0.0
9,2,1,partners,assist,1.0894423582436352,0.5905576417563647
9,2,1,partners,business,0.0,0.0
9,2,1,case_content,studio,0.0,0.0
9,2,1,case_content,assist,0.24317909782224,0.13182090217776
9,2,1,case_content,business,0.0,0.0
9,3,2,founder,studio,0.0,0.0
9,3,2,founder,assist,3.377602448050176,1.5183975519498238
9,3,2,founder,business,0.0,0.0
9,3,2,partners,studio,0.0,0.0
9,3,2,partners,assist,1.1937506691393025,0.5366493308606975
9,3,2,partners,business,0.0,0.0
9,3,2,case_content,studio,0.0,0.0
9,3,2,case_content,assist,0.26646220293288003,0.11978779706712002
9,3,2,case_content,business,0.0,0.0
9,4,3,founder,studio,0.0,0.0
9,4,3,founder,assist,3.665057975543808,1.328862024456192
9,4,3,founder,business,0.0,0.0
9,4,3,partners,studio,0.0,0.0
9,4,3,partners,assist,1.3080459459717888,0.47426605402821115
9,4,3,partners,business,0.0,0.0
9,4,3,case_content,studio,0.0,0.0
9,4,3,case_content,assist,0.29197454151156,0.10586295848844
9,4,3,case_content,business,0.0,0.0
9,5,4,founder,studio,0.0,0.0
9,5,4,founder,assist,3.976977803249665,1.1168205967503362
9,5,4,founder,business,0.0,0.0
9,5,4,partners,studio,0.0,0.0
9,5,4,partners,assist,1.4332843876073857,0.4024969723926144
9,5,4,partners,business,0.0,0.0
9,5,4,case_content,studio,0.0,0.0
9,5,4,case_content,assist,0.31992955080522,0.08984307419478
9,5,4,case_content,business,0.0,0.0
9,6,5,founder,studio,0.0,0.0
9,6,5,founder,assist,4.3154439992709115,0.8802303687290878
9,6,5,founder,business,0.0,0.0
9,6,5,partners,studio,0.0,0.0
9,6,5,partners,assist,1.5705137438676673,0.32034105693233283
9,6,5,partners,business,0.0,0.0
9,6,5,case_content,studio,0.0,0.0
9,6,5,case_content,assist,0.3505611035418901,0.07150470020811
9,6,5,case_content,business,0.0,0.0
9,7,6,founder,studio,0.0,0.0
9,7,6,founder,assist,4.682715828996096,0.616872026363904
9,7,6,founder,business,0.0,0.0
9,7,6,partners,studio,0.0,0.0
9,7,6,partners,assist,1.7208820810464864,0.22669836377751357
9,7,6,partners,business,0.0,0.0
9,7,6,case_content,studio,0.0,0.0
9,7,6,case_content,assist,0.384125464519305,0.050602313343194996
9,7,6,case_content,business,0.0,0.0
9,8,7,founder,studio,0.0,0.0
9,8,7,founder,assist,5.081244835719168,0.324334776748032
9,8,7,founder,business,0.0,0.0
9,8,7,partners,studio,0.0,0.0
9,8,7,partners,assist,1.8856473866785968,0.12036047149012319
9,8,7,partners,business,0.0,0.0
9,8,7,case_content,studio,0.0,0.0
9,8,7,case_content,assist,0.4209034345264725,0.026866176671902497
9,8,7,case_content,business,0.0,0.0
9,9,8,founder,studio,0.0,0
9,9,8,founder,assist,5.513691204716545,0
9,9,8,founder,business,0.0,0
9,9,8,partners,studio,0.0,0
9,9,8,partners,assist,2.0661880939137816,0
9,9,8,partners,business,0.0,0
9,9,8,case_content,studio,0.0,0
9,9,8,case_content,assist,0.4612026995343263,0
9,9,8,case_content,business,0.0,0
10,2,1,founder,studio,0.0,0.0
10,2,1,founder,assist,2.9259309049971924,1.8740690950028085
10,2,1,founder,business,0.0,0.0
10,2,1,partners,studio,0.0,0.0
10,2,1,partners,assist,1.0240758167490172,0.6559241832509828
10,2,1,partners,business,0.0,0.0
10,2,1,case_content,studio,0.0,0.0
10,2,1,case_content,assist,0.2285883519529056,0.1464116480470944
10,2,1,case_content,business,0.0,0.0
10,3,2,founder,studio,0.0,0.0
10,3,2,founder,assist,3.1749463011671657,1.7210536988328344
10,3,2,founder,business,0.0,0.0
10,3,2,partners,studio,0.0,0.0
10,3,2,partners,assist,1.1221256289909443,0.6082743710090557
10,3,2,partners,business,0.0,0.0
10,3,2,case_content,studio,0.0,0.0
10,3,2,case_content,assist,0.2504744707569072,0.13577552924309283
10,3,2,case_content,business,0.0,0.0
10,4,3,founder,studio,0.0,0.0
10,4,3,founder,assist,3.4451544970111794,1.5487655029888203
10,4,3,founder,business,0.0,0.0
10,4,3,partners,studio,0.0,0.0
10,4,3,partners,assist,1.2295631892134815,0.5527488107865185
10,4,3,partners,business,0.0,0.0
10,4,3,case_content,studio,0.0,0.0
10,4,3,case_content,assist,0.2744560690208664,0.12338143097913361
10,4,3,case_content,business,0.0,0.0
10,5,4,founder,studio,0.0,0.0
10,5,4,founder,assist,3.738359135054685,1.355439264945316
10,5,4,founder,business,0.0,0.0
10,5,4,partners,studio,0.0,0.0
10,5,4,partners,assist,1.3472873243509427,0.4884940356490575
10,5,4,partners,business,0.0,0.0
10,5,4,case_content,studio,0.0,0.0
10,5,4,case_content,assist,0.3007337777569068,0.1090388472430932
10,5,4,case_content,business,0.0,0.0
10,6,5,founder,studio,0.0,0.0
10,6,5,founder,assist,4.056517359314657,1.1391570086853424
10,6,5,founder,business,0.0,0.0
10,6,5,partners,studio,0.0,0.0
10,6,5,partners,assist,1.4762829192356073,0.41457188156439284
10,6,5,partners,business,0.0,0.0
10,6,5,case_content,studio,0.0,0.0
10,6,5,case_content,assist,0.32952743732937667,0.09253836642062341
10,6,5,case_content,business,0.0,0.0
10,7,6,founder,studio,0.0,0.0
10,7,6,founder,assist,4.40175287925633,0.8978349761036697
10,7,6,founder,business,0.0,0.0
10,7,6,partners,studio,0.0,0.0
10,7,6,partners,assist,1.6176291561836973,0.32995128864030276
10,7,6,partners,business,0.0,0.0
10,7,6,case_content,studio,0.0,0.0
10,7,6,case_content,assist,0.3610779366481467,0.07364984121435329
10,7,6,case_content,business,0.0,0.0
10,8,7,founder,studio,0.0,0.0
10,8,7,founder,assist,4.776370145576018,0.6292094668911821
10,8,7,founder,business,0.0,0.0
10,8,7,partners,studio,0.0,0.0
10,8,7,partners,assist,1.772508543477881,0.233499314690839
10,8,7,partners,business,0.0,0.0
10,8,7,case_content,studio,0.0,0.0
10,8,7,case_content,assist,0.39564922845488415,0.052120382743490845
10,8,7,case_content,business,0.0,0.0
10,9,8,founder,studio,0.0,0.0
10,9,8,founder,assist,5.182869732433552,0.3308214722829927
10,9,8,founder,business,0.0,0.0
10,9,8,partners,studio,0.0,0.0
10,9,8,partners,assist,1.9422168082789546,0.12397128563482689
10,9,8,partners,business,0.0,0.0
10,9,8,case_content,studio,0.0,0.0
10,9,8,case_content,assist,0.4335305375622667,0.027672161972059576
10,9,8,case_content,business,0.0,0.0
10,10,9,founder,studio,0.0,0
10,10,9,founder,assist,5.623965028810876,0
10,10,9,founder,business,0.0,0
10,10,9,partners,studio,0.0,0
10,10,9,partners,assist,2.128173736731195,0
10,10,9,partners,business,0.0,0
10,10,9,case_content,studio,0.0,0
10,10,9,case_content,assist,0.4750387805203561,0
10,10,9,case_content,business,0.0,0
11,2,1,founder,studio,0.0,0.0
11,2,1,founder,assist,2.750375050697361,2.04962494930264
11,2,1,founder,business,0.0,0.0
11,2,1,partners,studio,0.0,0.0
11,2,1,partners,assist,0.9626312677440761,0.7173687322559238
11,2,1,partners,business,0.0,0.0
11,2,1,case_content,studio,0.0,0.0
11,2,1,case_content,assist,0.21487305083573127,0.16012694916426873
11,2,1,case_content,business,0.0,0.0
11,3,2,founder,studio,0.0,0.0
11,3,2,founder,assist,2.984449523097136,1.9115504769028644
11,3,2,founder,business,0.0,0.0
11,3,2,partners,studio,0.0,0.0
11,3,2,partners,assist,1.0547980912514876,0.6756019087485123
11,3,2,partners,business,0.0,0.0
11,3,2,case_content,studio,0.0,0.0
11,3,2,case_content,assist,0.23544600251149278,0.15080399748850726
11,3,2,case_content,business,0.0,0.0
11,4,3,founder,studio,0.0,0.0
11,4,3,founder,assist,3.2384452271905086,1.755474772809491
11,4,3,founder,business,0.0,0.0
11,4,3,partners,studio,0.0,0.0
11,4,3,partners,assist,1.1557893978606726,0.6265226021393274
11,4,3,partners,business,0.0,0.0
11,4,3,case_content,studio,0.0,0.0
11,4,3,case_content,assist,0.2579887048796144,0.1398487951203856
11,4,3,case_content,business,0.0,0.0
11,5,4,founder,studio,0.0,0.0
11,5,4,founder,assist,3.514057586951404,1.579740813048597
11,5,4,founder,business,0.0,0.0
11,5,4,partners,studio,0.0,0.0
11,5,4,partners,assist,1.266450084889886,0.569331275110114
11,5,4,partners,business,0.0,0.0
11,5,4,case_content,studio,0.0,0.0
11,5,4,case_content,assist,0.2826897510914924,0.12708287390850762
11,5,4,case_content,business,0.0,0.0
11,6,5,founder,studio,0.0,0.0
11,6,5,founder,assist,3.8131263177557773,1.3825480502442218
11,6,5,founder,business,0.0,0.0
11,6,5,partners,studio,0.0,0.0
11,6,5,partners,assist,1.3877059440814707,0.5031488567185293
11,6,5,partners,business,0.0,0.0
11,6,5,case_content,studio,0.0,0.0
11,6,5,case_content,assist,0.3097557910896141,0.11231001266038601
11,6,5,case_content,business,0.0,0.0
11,7,6,founder,studio,0.0,0.0
11,7,6,founder,assist,4.1376477065009505,1.1619401488590495
11,7,6,founder,business,0.0,0.0
11,7,6,partners,studio,0.0,0.0
11,7,6,partners,assist,1.5205714068126754,0.4270090380113246
11,7,6,partners,business,0.0,0.0
11,7,6,case_content,studio,0.0,0.0
11,7,6,case_content,assist,0.3394132604492579,0.0953145174132421
11,7,6,case_content,business,0.0,0.0
11,8,7,founder,studio,0.0,0.0
11,8,7,founder,assist,4.489787936841457,0.9157916756257432
11,8,7,founder,business,0.0,0.0
11,8,7,partners,studio,0.0,0.0
11,8,7,partners,assist,1.666158030869208,0.33984982729951185
11,8,7,partners,business,0.0,0.0
11,8,7,case_content,studio,0.0,0.0
11,8,7,case_content,assist,0.3719102747475911,0.0758593364507839
11,8,7,case_content,business,0.0,0.0
11,9,8,founder,studio,0.0,0.0
11,9,8,founder,assist,4.871897548487539,0.6417936562290059
11,9,8,founder,business,0.0,0.0
11,9,8,partners,studio,0.0,0.0
11,9,8,partners,assist,1.8256837997822173,0.24050429413156416
11,9,8,partners,business,0.0,0.0
11,9,8,case_content,studio,0.0,0.0
11,9,8,case_content,assist,0.40751870530853074,0.053683994225795575
11,9,8,case_content,business,0.0,0.0
11,10,9,founder,studio,0.0,0.0
11,10,9,founder,assist,5.286527127082223,0.3374379017286525
11,10,9,founder,business,0.0,0.0
11,10,9,partners,studio,0.0,0.0
11,10,9,partners,assist,2.000483312527323,0.1276904242038717
11,10,9,partners,business,0.0,0.0
